JOB_DISCIPLINE_NAME,Standard Craft,Craft Grouping
Structural Fitter (Fab),01-Str. Fitters,Fitup
Mechanic (Fab),01-Str. Fitters,Fitup
Machinist (Fab),01-Str. Fitters,Fitup
Storekeeper (Fab),01-Str. Fitters,Fitup
Civil/Structural Design,01-Str. Fitters,Fitup
Storekeeper (OffCon),01-Str. Fitters,Fitup
Storekeeper 2,01-Str. Fitters,Fitup
Structural Fitter,01-Str. Fitters,Fitup
Structural Fitter 1,01-Str. Fitters,Fitup
Structural Fitter 2,01-Str. Fitters,Fitup
Structural Fitter 3,01-Str. Fitters,Fitup
Structural Fitter 4,01-Str. Fitters,Fitup
Structural Fitter Foreman,01-Str. Fitters,Fitup
Structural Fitter Foreman 1,01-Str. Fitters,Fitup
Structural Fitter Foreman 2,01-Str. Fitters,Fitup
Structural Fitter Foreman 3,01-Str. Fitters,Fitup
Structural Fitter Foreman 4,01-Str. Fitters,Fitup
Structural Fitter Trainee,01-Str. Fitters,Fitup
1 Structural Fitter (Fab),01-Str. Fitters,Fitup
Structural Fitter (Fab)-E & M,01-Str. Fitters,Fitup
Structural Fitter (Fab)-FACILITIES,01-Str. Fitters,Fitup
Structural Fitter (Fab)-Hook up,01-Str. Fitters,Fitup
Structural Fitter (Fab)-IT,01-Str. Fitters,Fitup
Structural Fitter (Fab)-PIPING,01-Str. Fitters,Fitup
Structural Fitter (Fab)-W/HOUSE,01-Str. Fitters,Fitup
Structural Fitter (Fab)-ACCOUNTS,01-Str. Fitters,Fitup
Inspection (Qlty),10-QA/QC,QAQC
Operations (Qlty),10-QA/QC,QAQC
Certifications (Qlty),10-QA/QC,QAQC
Assurance (Qlty),10-QA/QC,QAQC
Dimension Control (Qlty),10-QA/QC,QAQC
Administration (GenSvc),10-QA/QC,QAQC
AWS Technician (Fab),10-QA/QC,QAQC
Document Control (Eng),10-QA/QC,QAQC
Metallurgy (Qlty),10-QA/QC,QAQC
Operations (Mar),10-QA/QC,QAQC
Welding/Quality (OffCon),10-QA/QC,QAQC
QHSES Assurance,10-QA/QC,QAQC
NDT,10-QA/QC,QAQC
Associate Quality Inspector,10-QA/QC,QAQC
Certification Tech,10-QA/QC,QAQC
Document Control (GenSvc),10-QA/QC,QAQC
Inspection  (Qlty),10-QA/QC,QAQC
Principal Quality Inspector,10-QA/QC,QAQC
Quality Inspector,10-QA/QC,QAQC
Senior Quality Inspector,10-QA/QC,QAQC
1 - QA/QC,10-QA/QC,QAQC
Administration (GenSvc)-Hook up,10-QA/QC,QAQC
Administration (GenSvc)-SAFETY,10-QA/QC,QAQC
Associate Inspection Tech.,10-QA/QC,QAQC
NDT Technician,10-QA/QC,QAQC
Certifications (Qlty)-QA/QC,10-QA/QC,QAQC
Quality Ops Tech,10-QA/QC,QAQC
Associate Dimension Control Tech,10-QA/QC,QAQC
Associate Certification Tech,10-QA/QC,QAQC
Dimension Control Tech,10-QA/QC,QAQC
Associate Quality Ops Tech,10-QA/QC,QAQC
Associate QHSES Assurance Specialist,10-QA/QC,QAQC
Senior Principal NDT Tech,10-QA/QC,QAQC
Dimension Control Tech Supervisor,10-QA/QC,QAQC
Principal Certification Tech,10-QA/QC,QAQC
Certification Tech Supervisor,10-QA/QC,QAQC
Senior Civil/Structural Designer,10-QA/QC,QAQC
Senior Dimension Control Tech,10-QA/QC,QAQC
